         291952 function calls (282739 primitive calls) in 12.356 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
      267    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
        1    0.000    0.000    0.000    0.000 _type_check_impl.py:1(<module>)
        2    0.000    0.000    0.000    0.000 load_config_py3.py:6(exec_file_wrapper)
     1326    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       33    0.000    0.000    0.000    0.000 rcsetup.py:99(f)
     2840    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
      582    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       78    0.000    0.000    0.000    0.000 enum.py:1603(__and__)
       18    0.000    0.000    0.000    0.000 typing.py:1733(__getitem_inner__)
     1725    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ImageMode.py:1(<module>)
      560    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
        1    0.000    0.000    0.000    0.000 _cm_bivar.py:1(<module>)
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
