         149578 function calls (145313 primitive calls) in 47.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:2160(_match_arguments_partial)
       28    0.000    0.000    0.000    0.000 inspect.py:626(cleandoc)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1527(path_hook_for_FileFinder)
      144    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      169    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      274    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      380    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
       27    0.000    0.000    0.000    0.000 pyparsing.py:5098(__init__)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1504(<dictcomp>)
    53/18    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2870(__init__)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
     1595    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      5/4    0.000    0.000    0.000    0.000 __init__.py:235(wrapper)
       28    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1595    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
    53/18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       16    0.000    0.000    0.000    0.000 pyparsing.py:2292(__or__)
        1    0.000    0.000    0.000    0.000 __init__.py:746(copy)
   107/82    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
